name,beer,bar
Rebecca Bates,Harpoon UFO Hefeweizen,Buzzards Bay Brewing Inc.
Willie Mullins,Boston Red,Buzzards Bay Brewing Inc.
Dylan McBride,Samuel Adams OctoberFest,Boston Beer Works
Jennie Valdez,UFO Raspberry Hefeweizen,Paper City Brewing Company
Sarah Ford,Samuel Adams Pale Ale,John Harvard's Brew House - Framingham
Bradley Clarke,Samuel Adams Hefeweizen,Commonwealth Brewing #1
Minnie McKenzie,Samuel Adams Triplebock 1995,Commonwealth Brewing #1
Polly Hicks,Boltwood Bock,Wachusetts Brewing Company
Christopher Jones,Harpoon UFO Hefeweizen,Buzzards Bay Brewing Inc.
Cameron Barber,Harpoon Leviathan,Cape Ann Brewing
Russell Little,North Pleasant Pale Ale,Harpoon Brewery - Boston
Rena Reid,Harpoon UFO Hefeweizen,Cambridge Brewing
Trevor Ramirez,Samuel Adams Hefeweizen,Wachusetts Brewing Company
Jennie Rice,Samuel Adams Coastal Wheat,Cambridge Brewing
Nancy Elliott,Massatucky Brown,John Harvard's Brew House - Framingham
Ronald Johnston,Samuel Adams Hallertau Imperial Pilsner,Commonwealth Brewing #1
Travis Barker,Samuel Adams Hallertau Imperial Pilsner,John Harvard's Brew House - Framingham
Danny Harvey,Amber Ale,Harpoon Brewery - Boston
Daniel Hoffman,Ipswich Original Ale,Cambridge Brewing
Jason Alvarez,Ipswich Original Ale,John Harvard's Brew House - Framingham
Eric Reeves,Samuel Adams Black Lager,Commonwealth Brewing #1
Calvin Wood,Bankers Gold,New Century Brewing Company
Brett Day,Harpoon Brown Session Ale,Wachusetts Brewing Company
Cody Ortega,Samuel Adams Golden Pilsner,Paper City Brewing Company
Birdie Andrews,Samuel Adams Scotch Ale,Wachusetts Brewing Company
Victoria Parks,Golden Ale,New Century Brewing Company
Lula Pope,Samuel Adams Triplebock 1995,Wachusetts Brewing Company
Mamie Bowman,Wheaten Ale,Mercury Brewing Company
Tillie Mendoza,Amber Ale,Element Brewing Company
Jeremiah Maxwell,Samuel Adams White Ale,John Harvard's Brew House - Framingham
Katharine Bishop,Harpoon Winter Warmer,Boston Beer Company
Eleanor Pratt,Ipswich Nut Brown,Watch City Brewing
Peter Adams,Cambridge Amber,Mercury Brewing Company
Jackson Perkins,Ipswich Harvest,Mercury Brewing Company
Chester Scott,Samuel Adams Black Lager,New Century Brewing Company
Brett Manning,Famous Porter,Wachusetts Brewing Company
Tom Rice,Two Sisters Imperial Stout,Cape Ann Brewing
Myrtie Marshall,Bankers Gold,Cambridge Brewing
Nettie Ramsey,Harpoon Winter Warmer,Boston Beer Works
Douglas Doyle,Harpoon UFO Hefeweizen,John Harvard's Brew House - Harvard Square
Jim Ballard,Samuel Adams Golden Pilsner,Buzzards Bay Brewing Inc.
Angel Baker,Samuel Adams OctoberFest,John Harvard's Brew House - Harvard Square
Lois Cunningham,North Pleasant Pale Ale,Wachusetts Brewing Company
Elsie Schultz,Tall Tale Pale Ale,Watch City Brewing
Jonathan McLaughlin,Boltwood Bock,Element Brewing Company
Millie Hampton,Samuel Adams Blackberry Witbier,John Harvard's Brew House - Harvard Square
Lena McDaniel,Graduation Ale,Brewery at Martha's Vineyard
Louise Higgins,UFO Raspberry Hefeweizen,Brewery at Martha's Vineyard
Owen Sharp,UFO Raspberry Hefeweizen,Harpoon Brewery - Boston
Craig Padilla,Samuel Adams Double Bock,Boston Beer Company
Tom Collins,Famous Porter,Wachusetts Brewing Company
Minerva Perez,Amber Ale,Element Brewing Company
Glenn Garrett,Ipswich Nut Brown,Watch City Brewing
Clarence Powers,1084 Barleywine,Watch City Brewing
Lily Robbins,Samuel Adams Scotch Ale,Boston Beer Company
Clayton Howard,Harpoon Ale,Cambridge Brewing
Lelia Dawson,Olde Buzzard Lager,Cambridge Brewing
Martha Blair,Special Old Ale,Wachusetts Brewing Company
Elmer Wilson,Hops Explosion IPA,Paper City Brewing Company
Rhoda Robinson,Harpoon UFO Hefeweizen,Watch City Brewing
Lida Peters,Samuel Adams Winter Lager,John Harvard's Brew House - Framingham
Inez Meyer,Harpoon Winter Warmer,John Harvard's Brew House - Harvard Square
Delia Tyler,Golden Ale,Element Brewing Company
Clarence Sparks,Wheaten Ale,Brewery at Martha's Vineyard
Elnora Dixon,Harpoon UFO Hefeweizen,Watch City Brewing
Lou Elliott,Ipswich IPA,Element Brewing Company
Christopher Peterson,Samuel Adams Boston Ale,Cambridge Brewing
Estella Aguilar,Hercules Stong Ale,Commonwealth Brewing #1
Hallie Ross,Boston Red,John Harvard's Brew House - Framingham
Chase Sharp,Raspberry Brown Ale,Cape Ann Brewing
Rosalie Wright,Samuel Adams Old Fezziwig Ale,Commonwealth Brewing #1
Craig McLaughlin,Harpoon Celtic Ale,Harpoon Brewery - Boston
Nettie Black,Buckeye Oatmeal Stout,John Harvard's Brew House - Harvard Square
Pearl Cox,Samuel Adams Hallertau Imperial Pilsner,Brewery at Martha's Vineyard
Lydia Santos,Tall Tale Pale Ale,Watch City Brewing
Genevieve Chandler,Ipswich Winter,Watch City Brewing
Mayme Washington,Sam Adams Light,Boston Beer Company
Ellen Woods,Lewmeister Oktoberfest,Cambridge Brewing
Florence Estrada,Harpoon UFO Hefeweizen,Harpoon Brewery - Boston
Brett Sullivan,Olde Buzzard Lager,New Century Brewing Company
Walter Cohen,Samuel Adams Imperial Stout,Paper City Brewing Company
Jeremy Fisher,Longshot American Pale Ale,Mercury Brewing Company
Lida Cummings,Righteous Red,New Century Brewing Company
Harvey Cox,Bankers Gold,Wachusetts Brewing Company
Vernon Jordan,Cambridge Amber,Watch City Brewing
Josephine Moreno,Samuel Adams Imperial White,Watch City Brewing
Myra Johnson,Samuel Adams Blackberry Witbier,Cambridge Brewing
Emily Osborne,Samuel Adams Cream Stout,Mercury Brewing Company
Bertha Becker,Harpoon Brown Session Ale,Element Brewing Company
Howard Riley,Ipswich Harvest,Mercury Brewing Company
Allen Wallace,Longshot American Pale Ale,Boston Beer Works
Henry Robbins,Boston Red,Brewery at Martha's Vineyard
Larry Matthews,Samuel Adams Irish Red,Cambridge Brewing
Howard Hardy,Boston Red,Commonwealth Brewing #1
Richard Powers,Samuel Adams Pale Ale,Harpoon Brewery - Boston
Sean Vega,Samuel Adams Scotch Ale,Cape Ann Brewing
Leona Hicks,Samuel Adams Blackberry Witbier,Wachusetts Brewing Company
Dale Stephens,Regatta Golden,Harpoon Brewery - Boston
Jared Riley,Fenway American Pale Ale,Cape Ann Brewing
Joe Rogers,Heather Ale,Element Brewing Company
Ola Tucker,Classic Stout,Commonwealth Brewing #1
Kevin Ray,Ipswich Nut Brown,Brewery at Martha's Vineyard
Lizzie Blake,Wilmington Roggen Beer,Harpoon Brewery - Boston
Cora Daniel,Raspberry Brown Ale,John Harvard's Brew House - Framingham
Randall Cross,Hercules Stong Ale,Wachusetts Brewing Company
Randy Waters,Samuel Adams Cherry Wheat,New Century Brewing Company
Luis Watson,Ipswich Harvest,Brewery at Martha's Vineyard
Allen Diaz,Samuel Adams Triplebock 1995,Brewery at Martha's Vineyard
Rachel Strickland,Amber Ale,Buzzards Bay Brewing Inc.
Christian Watkins,Samuel Adams Hallertau Imperial Pilsner,John Harvard's Brew House - Harvard Square
Brian Leonard,Massatucky Brown,Buzzards Bay Brewing Inc.
Eugene Floyd,Ipswich Porter,Buzzards Bay Brewing Inc.
Essie Paul,Holyoke Dam Ale,Element Brewing Company
Alma Lucas,Samuel Adams Noble Pils,Paper City Brewing Company
Allen Holloway,Samuel Adams Brown Ale,Wachusetts Brewing Company
Jordan Casey,North Pleasant Pale Ale,Commonwealth Brewing #1
Ann Simmons,Golden Ale,Wachusetts Brewing Company
Mabelle Allen,Harpoon Leviathan,Wachusetts Brewing Company
James Williamson,Ipswich Nut Brown,Brewery at Martha's Vineyard
Eunice Buchanan,Boston Red,Boston Beer Works
Alta Roy,Harpoon Leviathan,Element Brewing Company
Manuel Peters,Massatucky Brown,Element Brewing Company
Lloyd Lyons,Ipswich Original Ale,Boston Beer Works
Hettie Farmer,Ipswich Oatmeal Stout,Cambridge Brewing
Lily Tate,Samuel Adams Pale Ale,Mercury Brewing Company
Duane Patrick,Wachusetts IPA,Cape Ann Brewing
Jesse Medina,Longshot Hazelnut Brown,Boston Beer Works
Winifred Benson,Tall Tale Pale Ale,New Century Brewing Company
Gertrude Perkins,Samuel Adams Black Lager,Buzzards Bay Brewing Inc.
Genevieve Hunt,Samuel Adams Imperial Stout,Wachusetts Brewing Company
Sophia Sutton,Graduation Ale,Buzzards Bay Brewing Inc.
Oscar Crawford,Ipswich Porter,Boston Beer Company
Tillie Medina,Samuel Adams White Ale,Wachusetts Brewing Company
Steven Clarke,Fenway American Pale Ale,Cambridge Brewing
Jeffrey Lawrence,Samuel Adams Boston Lager,Element Brewing Company
Harold Rodgers,Samuel Adams Cherry Wheat,Buzzards Bay Brewing Inc.
Victoria Williams,Harpoon Brown Session Ale,Buzzards Bay Brewing Inc.
Essie Hansen,Samuel Adams Brown Ale,Commonwealth Brewing #1
Nancy Harmon,Samuel Adams Noble Pils,New Century Brewing Company
Walter Swanson,Famous Porter,Brewery at Martha's Vineyard
Austin Hodges,Samuel Adams Blackberry Witbier,Element Brewing Company
Jeffrey Moore,Samuel Adams Cream Stout,Harpoon Brewery - Boston
Ernest Hodges,Ipswich Dark Ale,Cambridge Brewing
Belle Moreno,Graduation Ale,Brewery at Martha's Vineyard
Jimmy Roberts,Golden Ale,Boston Beer Works
Harriet Parker,Kenmore K̦lsch,Boston Beer Works
Carrie Frazier,Honey Pilsner,New Century Brewing Company
Johnny Ray,Boston Red,New Century Brewing Company
Kate Barrett,Special Old Ale,Watch City Brewing
Amanda Ramirez,Samuel Adams Honey Porter,New Century Brewing Company
Gary Berry,Regatta Golden,Cape Ann Brewing
Todd Howell,Samuel Adams Double Bock,Wachusetts Brewing Company
Elnora Logan,Samuel Adams Brown Ale,Element Brewing Company
Manuel Jacobs,Ipswich Dark Ale,Harpoon Brewery - Boston
Lawrence Hanson,Samuel Adams Old Fezziwig Ale,Paper City Brewing Company
Lenora Burton,Kenmore K̦lsch,Buzzards Bay Brewing Inc.
Edna Hampton,Samuel Adams Coastal Wheat,Commonwealth Brewing #1
Laura French,Samuel Adams Boston Ale,John Harvard's Brew House - Framingham
Jessie Lamb,Samuel Adams Double Bock,John Harvard's Brew House - Framingham
Lillian Graham,Olde Buzzard Lager,Boston Beer Works
Rosalie Graham,Honey Pilsner,Buzzards Bay Brewing Inc.
Leo Carpenter,Samuel Adams Golden Pilsner,Cambridge Brewing
Cody Phelps,Samuel Adams Scotch Ale,New Century Brewing Company
Seth Harmon,Longshot Hazelnut Brown,Brewery at Martha's Vineyard
Martha Boyd,Samuel Adams Irish Red,Watch City Brewing
Sophie Barber,Tall Tale Pale Ale,Commonwealth Brewing #1
Martin Richardson,Honey Pilsner,Cape Ann Brewing
Lou Murray,Kenmore K̦lsch,Mercury Brewing Company
John Chambers,Samuel Adams Chocolate Bock,Wachusetts Brewing Company
Terry Hale,Samuel Adams Holiday Porter,John Harvard's Brew House - Harvard Square
Beatrice Klein,Dark Element,John Harvard's Brew House - Harvard Square
Allen Anderson,Cambridge Amber,Boston Beer Works
Glenn Nelson,Harpoon Winter Warmer,Boston Beer Works
Rachel Stanley,Kenmore K̦lsch,Boston Beer Company
Stanley Barber,Harpoon Leviathan,Paper City Brewing Company
Nicholas Ortega,Famous Porter,John Harvard's Brew House - Framingham
Susie Montgomery,Wheaten Ale,Buzzards Bay Brewing Inc.
Dorothy Little,Ipswich Original Ale,Buzzards Bay Brewing Inc.
Jessie Stone,Samuel Adams Coastal Wheat,Buzzards Bay Brewing Inc.
Maurice Lawson,Special Old Ale,Harpoon Brewery - Boston
Nina Kennedy,1084 Barleywine,Harpoon Brewery - Boston
Phoebe Jones,Samuel Adams Coastal Wheat,New Century Brewing Company
Rosetta Beck,Ipswich Winter,Element Brewing Company
Cecilia Parks,1084 Barleywine,Watch City Brewing
Ralph Quinn,Olde #8 Anniversary Ale,John Harvard's Brew House - Framingham
Cora Reese,Samuel Adams Blackberry Witbier,Mercury Brewing Company
Carlos Sherman,Samuel Adams Triplebock 1995,Mercury Brewing Company
Rosetta Bridges,Samuel Adams Hefeweizen,Element Brewing Company
Evelyn Neal,Samuel Adams OctoberFest,John Harvard's Brew House - Harvard Square
Philip Anderson,Harpoon Celtic Ale,Element Brewing Company
Roy Boone,Ipswich Dark Ale,Boston Beer Company
Lettie Schneider,UFO Raspberry Hefeweizen,Element Brewing Company
Tony Murray,Golden Ale,Watch City Brewing
Lilly Gregory,Samuel Adams Triplebock 1994,John Harvard's Brew House - Framingham
Violet Pena,Wachusetts IPA,Watch City Brewing
Danny Graham,Samuel Adams Old Fezziwig Ale,Commonwealth Brewing #1
Mary Douglas,Righteous Red,Wachusetts Brewing Company
Lenora Ramsey,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),John Harvard's Brew House - Harvard Square
Janie Wood,Samuel Adams Honey Porter,Harpoon Brewery - Boston
Minerva Peters,Cascade IPA,Boston Beer Company
Robert McCormick,Samuel Adams Noble Pils,Commonwealth Brewing #1
Addie Nelson,Dark Element,Element Brewing Company
Manuel Shelton,Samuel Adams Brown Ale,John Harvard's Brew House - Harvard Square
Sara Cross,Extra Stout,Boston Beer Company
Stella Lindsey,Ipswich Winter,Boston Beer Company
Brent Klein,1084 Barleywine,New Century Brewing Company
Marc Bowman,Famous Porter,Cape Ann Brewing
Georgia Castro,Graduation Ale,Cambridge Brewing
Maude Hoffman,Samuel Adams Hallertau Imperial Pilsner,Element Brewing Company
Mayme Harper,Samuel Adams Summer Ale,John Harvard's Brew House - Harvard Square
Nellie Guerrero,Samuel Adams Cherry Wheat,Wachusetts Brewing Company
Ivan Mack,Harpoon Winter Warmer,Brewery at Martha's Vineyard
Leon Daniels,Wachusetts IPA,Commonwealth Brewing #1
Hester Tran,Hard Core Crisp Apple Cider,John Harvard's Brew House - Framingham
Verna Thornton,Samuel Adams Hallertau Imperial Pilsner,Boston Beer Company
Earl Walton,Puffers Smoked Porter,Element Brewing Company
Nathaniel Taylor,Wheaten Ale,Paper City Brewing Company
Belle Evans,Samuel Adams Utopias MMIV,John Harvard's Brew House - Framingham
Lou Romero,Edison Light Beer,Buzzards Bay Brewing Inc.
Garrett Torres,Ipswich Oatmeal Stout,John Harvard's Brew House - Framingham
Georgia Reid,Samuel Adams White Ale,New Century Brewing Company
Blake Kim,Samuel Adams OctoberFest,Watch City Brewing
Elva McLaughlin,Samuel Adams Boston Ale,John Harvard's Brew House - Harvard Square
Etta Nunez,Samuel Adams Winter Lager,Brewery at Martha's Vineyard
Chad Cox,Samuel Adams Boston Lager,Mercury Brewing Company
Marc Dixon,Dark Element,Mercury Brewing Company
Susie Hawkins,Ipswich Harvest,Buzzards Bay Brewing Inc.
Hannah Horton,Ipswich Original Ale,Cambridge Brewing
Justin Garza,Samuel Adams Irish Red,Harpoon Brewery - Boston
Roxie Knight,Famous Porter,John Harvard's Brew House - Harvard Square
Helena Daniel,Samuel Adams OctoberFest,Harpoon Brewery - Boston
Lelia Meyer,Wheaten Ale,Element Brewing Company
Carrie Parsons,Buckeye Oatmeal Stout,Cambridge Brewing
Roxie Waters,Ipswich Porter,New Century Brewing Company
Tillie Brooks,Graduation Ale,Boston Beer Company
Juan Richards,Patriots Pilsner,Buzzards Bay Brewing Inc.
Essie Payne,Samuel Adams Golden Pilsner,Mercury Brewing Company
Eva Gomez,Samuel Adams Old Fezziwig Ale,Element Brewing Company
Jared Green,Ipswich Winter,Wachusetts Brewing Company
Claudia Chavez,Wilmington Roggen Beer,Boston Beer Company
Myrtle Dunn,Famous Porter,Wachusetts Brewing Company
Tyler Davis,Patriots Pilsner,Brewery at Martha's Vineyard
Esther Griffin,Samuel Adams Scotch Ale,Brewery at Martha's Vineyard
Christopher Ford,Samuel Adams Old Fezziwig Ale,Element Brewing Company
Lizzie McCoy,Samuel Adams Cranberry Lambic,Watch City Brewing
Joel Warner,Cambridge Amber,Watch City Brewing
Etta Duncan,Harpoon Munich Dark,Element Brewing Company
Lulu Oliver,Longshot Black Lager,New Century Brewing Company
Chad Reeves,Samuel Adams Hefeweizen,New Century Brewing Company
Ida Osborne,Massatucky Brown,John Harvard's Brew House - Harvard Square
Charlotte Jenkins,Kenmore K̦lsch,Cape Ann Brewing
Bertie Collier,Samuel Adams Utopias MMIV,John Harvard's Brew House - Framingham
Edwin Harper,Famous Porter,Brewery at Martha's Vineyard
Christopher Horton,Olde #8 Anniversary Ale,Cape Ann Brewing
William Diaz,Harpoon Leviathan,Commonwealth Brewing #1
Susan Cross,Samuel Adams Double Bock,Harpoon Brewery - Boston
Emily Gray,Harpoon Brown Session Ale,Watch City Brewing
Michael Clarke,Heather Ale,Buzzards Bay Brewing Inc.
Melvin Griffith,Ipswich Dark Ale,Buzzards Bay Brewing Inc.
Gregory Henderson,Samuel Adams Honey Porter,Cape Ann Brewing
Michael Jacobs,Samuel Adams Noble Pils,Boston Beer Company
Jonathan Clark,Samuel Adams Cherry Wheat,John Harvard's Brew House - Framingham
Winnie Tyler,Samuel Adams Hallertau Imperial Pilsner,Buzzards Bay Brewing Inc.
Blanche Leonard,North Pleasant Pale Ale,Buzzards Bay Brewing Inc.
Joshua Sims,Hops Explosion IPA,New Century Brewing Company
Sadie Butler,Samuel Adams Golden Pilsner,New Century Brewing Company
Janie Hale,Samuel Adams Golden Pilsner,Boston Beer Works
Alejandro McDonald,Samuel Adams Double Bock,Watch City Brewing
Eliza Townsend,Samuel Adams Cream Stout,Cape Ann Brewing
Duane Reid,Samuel Adams Cherry Wheat,Boston Beer Company
Lydia Fitzgerald,North Pleasant Pale Ale,Cape Ann Brewing
Julia Knight,Extra Stout,Cambridge Brewing
Eula Hughes,Samuel Adams Summer Ale,Cape Ann Brewing
Phillip Mason,Green Monsta Ale,Paper City Brewing Company
Jonathan Logan,Two Sisters Imperial Stout,Paper City Brewing Company
Katharine Fox,Massatucky Brown,Brewery at Martha's Vineyard
Logan Bell,Samuel Adams Winter Lager,Commonwealth Brewing #1
Steve Wheeler,Samuel Adams Winter Lager,Wachusetts Brewing Company
Richard Dixon,Longshot Hazelnut Brown,Brewery at Martha's Vineyard
Gussie Wade,Samuel Adams Boston Ale,Element Brewing Company
Aiden Reyes,Longshot Black Lager,Paper City Brewing Company
Nell Cummings,Samuel Adams Winter Lager,Boston Beer Company
Isabella Murphy,Bankers Gold,Boston Beer Works
Hettie Jenkins,Framingham Maibock,John Harvard's Brew House - Framingham
Ola Mendez,Longshot Black Lager,Cape Ann Brewing
Hulda Stephens,Samuel Adams Winter Lager,Commonwealth Brewing #1
Susan Ruiz,Ipswich Porter,John Harvard's Brew House - Harvard Square
Jay Ferguson,Edison Light Beer,Brewery at Martha's Vineyard
Nicholas Schwartz,Cambridge Amber,Paper City Brewing Company
Mario Freeman,Harpoon Leviathan,Commonwealth Brewing #1
Tom Willis,Holyoke Dam Ale,John Harvard's Brew House - Harvard Square
Eunice Ramsey,Boltwood Bock,Element Brewing Company
Brent Casey,Green Monsta Ale,Cape Ann Brewing
Nicholas Paul,Samuel Adams Summer Ale,Wachusetts Brewing Company
Marguerite Rivera,Samuel Adams Noble Pils,Cape Ann Brewing
Loretta Hodges,Holyoke Dam Ale,Paper City Brewing Company
Marvin Sandoval,Samuel Adams Old Fezziwig Ale,Wachusetts Brewing Company
Charles Alvarez,Samuel Adams Scotch Ale,Brewery at Martha's Vineyard
Keith Barrett,Ipswich IPA,Paper City Brewing Company
Danny Robbins,Samuel Adams Scotch Ale,Boston Beer Company
Gabriel Simmons,1084 Barleywine,Harpoon Brewery - Boston
Lou Barrett,Samuel Adams White Ale,Harpoon Brewery - Boston
Anthony Oliver,Samuel Adams Cream Stout,John Harvard's Brew House - Framingham
Elsie Hubbard,Framingham Maibock,Boston Beer Company
Antonio Morris,Extra Stout,Boston Beer Works
Dollie Barnett,Samuel Adams Coastal Wheat,Harpoon Brewery - Boston
Rose Potter,Extra Stout,John Harvard's Brew House - Framingham
Dale Townsend,Raspberry Brown Ale,Buzzards Bay Brewing Inc.
Blanche Figueroa,Two Sisters Imperial Stout,Buzzards Bay Brewing Inc.
Roy Page,Harpoon Brown Session Ale,Paper City Brewing Company
Gregory Padilla,Regatta Golden,Element Brewing Company
Hunter Erickson,Harpoon Celtic Ale,New Century Brewing Company
Maude Fields,Ipswich Porter,Commonwealth Brewing #1
Max Singleton,Righteous Red,Cape Ann Brewing
Gilbert Morris,Harpoon Celtic Ale,Boston Beer Works
Bryan Chandler,Golden Ale,Buzzards Bay Brewing Inc.
Jorge Bishop,North Pleasant Pale Ale,Paper City Brewing Company
Leila Jordan,Samuel Adams Golden Pilsner,Element Brewing Company
Vernon McKenzie,Samuel Adams Summer Ale,New Century Brewing Company
Virgie Jenkins,Longshot American Pale Ale,Mercury Brewing Company
Francisco Cannon,Tall Tale Pale Ale,Wachusetts Brewing Company
Ina Carr,UFO Raspberry Hefeweizen,Brewery at Martha's Vineyard
